[ TIME ] start=2019-11-01 09:02:54.223138
[CONFIG] ID=68d3a1ee00d242ff89c9bba2658e5fd0 config={'num_layers': 20, 'eval_batch_size': 500, 'sync': False, 'num_inter_threads': 0, 'data_format': None, 'train_batch_size': 256, 'momentum': 0.77675, 'weight_decay': 0.0001878, 'batch_norm_decay': 0.8686550000000001, 'batch_norm_epsilon': 0.00040204000000000005, 'learning_rate': 0.05190000000000001, 'optimizer': 'adam'}
[RESULT] ID=68d3a1ee00d242ff89c9bba2658e5fd0 iter=13 result={'accuracy': 0.5831, 'loss': 1.4798763, 'global_step': 2450}
[RESULT] ID=cb22875e4ff245dfada45d71dff559a0 iter=13 result={'accuracy': 0.7931, 'loss': 0.70409524, 'global_step': 1218}
[RESULT] ID=a2d5dc11909c4ff2a3c7b06bbad33eb7 iter=13 result={'accuracy': 0.5657, 'loss': 1.832048, 'global_step': 602}
[RESULT] ID=8cb059c31ba741f496552771533a5711 iter=14 result={'accuracy': 0.7095, 'loss': 0.9936915, 'global_step': 1305}
[RESULT] ID=47b391a492be4bdab71d814e31618b12 iter=12 result={'accuracy': 0.4578, 'loss': 1.6417316, 'global_step': 18278}
[RESULT] ID=68d3a1ee00d242ff89c9bba2658e5fd0 iter=14 result={'accuracy': 0.5711, 'loss': 1.6911149, 'global_step': 2625}
[RESULT] ID=cb22875e4ff245dfada45d71dff559a0 iter=14 result={'accuracy': 0.7665, 'loss': 0.80363244, 'global_step': 1305}
[RESULT] ID=a2d5dc11909c4ff2a3c7b06bbad33eb7 iter=14 result={'accuracy': 0.6434, 'loss': 1.4328051, 'global_step': 645}
[RESULT] ID=01ebf3f3679c488bb5d074d24d8ad123 iter=12 result={'accuracy': 0.5761, 'loss': 1.286021, 'global_step': 18278}
[RESULT] ID=8cb059c31ba741f496552771533a5711 iter=15 result={'accuracy': 0.6875, 'loss': 1.0801228, 'global_step': 1392}
[RESULT] ID=68d3a1ee00d242ff89c9bba2658e5fd0 iter=15 result={'accuracy': 0.3092, 'loss': 3.7932847, 'global_step': 2800}
[RESULT] ID=cb22875e4ff245dfada45d71dff559a0 iter=15 result={'accuracy': 0.7643, 'loss': 0.814706, 'global_step': 1392}
[RESULT] ID=a2d5dc11909c4ff2a3c7b06bbad33eb7 iter=15 result={'accuracy': 0.5756, 'loss': 1.5683414, 'global_step': 688}
[RESULT] ID=47b391a492be4bdab71d814e31618b12 iter=13 result={'accuracy': 0.4186, 'loss': 1.7554353, 'global_step': 19684}
[RESULT] ID=01ebf3f3679c488bb5d074d24d8ad123 iter=13 result={'accuracy': 0.5816, 'loss': 1.2774057, 'global_step': 19684}
[RESULT] ID=8cb059c31ba741f496552771533a5711 iter=16 result={'accuracy': 0.7322, 'loss': 0.86803436, 'global_step': 1479}
[RESULT] ID=68d3a1ee00d242ff89c9bba2658e5fd0 iter=16 result={'accuracy': 0.3981, 'loss': 2.5167217, 'global_step': 2975}
[RESULT] ID=cb22875e4ff245dfada45d71dff559a0 iter=16 result={'accuracy': 0.7708, 'loss': 0.7742141, 'global_step': 1479}
[RESULT] ID=a2d5dc11909c4ff2a3c7b06bbad33eb7 iter=16 result={'accuracy': 0.7061, 'loss': 1.0884502, 'global_step': 731}
[RESULT] ID=47b391a492be4bdab71d814e31618b12 iter=14 result={'accuracy': 0.3912, 'loss': 1.8808297, 'global_step': 21090}
[RESULT] ID=01ebf3f3679c488bb5d074d24d8ad123 iter=14 result={'accuracy': 0.5941, 'loss': 1.2475257, 'global_step': 21090}
[RESULT] ID=8cb059c31ba741f496552771533a5711 iter=17 result={'accuracy': 0.7298, 'loss': 0.89253855, 'global_step': 1566}
[RESULT] ID=68d3a1ee00d242ff89c9bba2658e5fd0 iter=17 result={'accuracy': 0.3301, 'loss': 4.911835, 'global_step': 3150}
[RESULT] ID=cb22875e4ff245dfada45d71dff559a0 iter=17 result={'accuracy': 0.7646, 'loss': 0.8905655, 'global_step': 1566}
[RESULT] ID=a2d5dc11909c4ff2a3c7b06bbad33eb7 iter=17 result={'accuracy': 0.6681, 'loss': 1.2893741, 'global_step': 774}
[RESULT] ID=47b391a492be4bdab71d814e31618b12 iter=15 result={'accuracy': 0.4766, 'loss': 1.605662, 'global_step': 22496}
[RESULT] ID=8cb059c31ba741f496552771533a5711 iter=18 result={'accuracy': 0.7548, 'loss': 0.77412766, 'global_step': 1653}
[RESULT] ID=01ebf3f3679c488bb5d074d24d8ad123 iter=15 result={'accuracy': 0.5964, 'loss': 1.2341449, 'global_step': 22496}
[RESULT] ID=68d3a1ee00d242ff89c9bba2658e5fd0 iter=18 result={'accuracy': 0.5112, 'loss': 1.8589852, 'global_step': 3325}
[RESULT] ID=cb22875e4ff245dfada45d71dff559a0 iter=18 result={'accuracy': 0.7405, 'loss': 0.9153242, 'global_step': 1653}
[RESULT] ID=a2d5dc11909c4ff2a3c7b06bbad33eb7 iter=18 result={'accuracy': 0.7626, 'loss': 0.9285661, 'global_step': 817}
[RESULT] ID=8cb059c31ba741f496552771533a5711 iter=19 result={'accuracy': 0.7294, 'loss': 0.90288585, 'global_step': 1740}
[CONFIG] ID=b24f6cd10e5e4c3cabce9e6c32cf1b23 config={'num_layers': 20, 'eval_batch_size': 500, 'sync': False, 'num_inter_threads': 0, 'data_format': None, 'train_batch_size': 128, 'momentum': 0.76465, 'weight_decay': 0.00011140000000000001, 'batch_norm_decay': 0.853531, 'batch_norm_epsilon': 0.00089605, 'learning_rate': 0.1064, 'optimizer': 'adadelta'}
[RESULT] ID=47b391a492be4bdab71d814e31618b12 iter=16 result={'accuracy': 0.4069, 'loss': 1.920415, 'global_step': 23902}
[RESULT] ID=01ebf3f3679c488bb5d074d24d8ad123 iter=16 result={'accuracy': 0.6001, 'loss': 1.2282602, 'global_step': 23902}
[RESULT] ID=68d3a1ee00d242ff89c9bba2658e5fd0 iter=19 result={'accuracy': 0.5202, 'loss': 1.6183022, 'global_step': 3500}
[CONFIG] ID=091fd74937ce41bba0781dd0a5e58001 config={'num_layers': 20, 'eval_batch_size': 500, 'sync': False, 'num_inter_threads': 0, 'data_format': None, 'train_batch_size': 256, 'momentum': 0.5303500000000001, 'weight_decay': 0.0001573, 'batch_norm_decay': 0.988851, 'batch_norm_epsilon': 0.00045451000000000004, 'learning_rate': 0.050800000000000005, 'optimizer': 'rmsprop'}
[RESULT] ID=cb22875e4ff245dfada45d71dff559a0 iter=19 result={'accuracy': 0.7372, 'loss': 0.88776106, 'global_step': 1740}
[RESULT] ID=a2d5dc11909c4ff2a3c7b06bbad33eb7 iter=19 result={'accuracy': 0.7312, 'loss': 1.0411705, 'global_step': 860}
[RESULT] ID=b24f6cd10e5e4c3cabce9e6c32cf1b23 iter=0 result={'accuracy': 0.3591, 'loss': 1.7967361, 'global_step': 351}
[RESULT] ID=47b391a492be4bdab71d814e31618b12 iter=17 result={'accuracy': 0.3074, 'loss': 2.3975484, 'global_step': 25308}
